Descriptor,Positive,Complex,Abrasive,Serious,Thematic
skit,0,0,0,-1,1
anxious,-1,0,0,0,0
scary,-1,0,1,0,0
androgynousvocals,0,0,0,0,0
ritualistic,0,0,-1,1,1
soothing,1,0,-1,0,0
chambermusic,0,1,0,0,0
breakup,-1,0,0,1,1
hateful,-1,0,1,1,0
rhythmic,0,1,0,0,0
Halloween,0,0,0,-1,1
serious,0,0,0,1,0
melancholic,-1,0,-1,0,0
aggressive,0,0,1,0,0
minimalistic,0,-1,0,0,0
lush,1,1,0,0,0
instrumental,0,0,0,0,0
violence,-1,0,1,1,0
ominous,-1,0,0,1,0
sports,0,0,0,0,1
funereal,-1,0,-1,1,1
forest,0,0,-1,0,1
sombre,-1,0,-1,1,0
warm,1,0,0,0,0
disturbing,-1,0,1,0,0
existential,0,1,0,1,1
medley,0,0,0,0,0
war,0,0,0,1,1
vocalgroup,0,-1,0,0,0
sexual,0,0,0,0,0
hedonistic,1,0,0,-1,0
tropical,1,0,0,-1,1
ensemble,0,1,0,0,0
romantic,1,0,0,0,0
futuristic,0,1,0,0,1
crime,0,0,1,0,0
technical,0,1,0,0,0
conceptalbum,0,1,0,0,1
deadpan,0,-1,-1,0,0
dark,-1,0,0,1,0
atmospheric,0,0,-1,0,0
eclectic,0,1,0,0,0
protest,0,0,0,1,1
self-hatred,-1,0,1,1,0
complex,0,1,0,0,0
boastful,1,0,0,0,0
satirical,1,0,0,-1,0
ballad,1,0,-1,1,0
sampling,0,1,0,0,0
calm,0,0,-1,0,0
ethereal,1,0,-1,0,1
medieval,0,0,0,0,1
suite,0,1,0,0,0
psychedelic,0,1,-1,0,0
religious,0,0,0,0,1
lo-fi,0,-1,0,0,0
alcohol,0,0,0,0,1
death,-1,0,0,1,1
sentimental,1,0,-1,0,0
party,1,-1,0,-1,1
sonata,0,1,0,0,0
spiritual,0,0,-1,1,1
passionate,1,0,0,1,0
fantasy,0,0,0,0,1
vulgar,-1,0,1,-1,0
novelty,0,0,0,-1,1
triumphant,1,0,0,0,0
apathetic,-1,0,-1,0,0
noisy,0,1,1,0,0
anti-religious,-1,0,1,1,1
mashup,0,-1,0,0,1
optimistic,1,0,0,0,0
heavy,0,1,1,0,0
history,0,0,0,0,1
soft,1,-1,-1,-1,0
suspenseful,0,0,0,0,0
nationalism,1,0,0,1,1
nature,1,0,0,0,1
lethargic,-1,0,-1,0,0
natural,0,0,0,0,1
sparse,0,-1,-1,0,0
introspective,0,1,0,1,0
nihilistic,-1,1,0,1,0
urban,0,0,0,0,1
sad,-1,0,0,0,0
femalevocals,0,0,0,0,0
surreal,0,1,-1,-1,1
chaotic,0,1,1,0,0
malevocals,0,0,0,0,0
manic,0,0,1,0,0
anthemic,1,-1,-1,1,0
paranormal,0,0,0,0,1
fairytale,1,0,0,-1,1
longing,0,0,0,1,0
mysterious,0,1,0,0,0
uplifting,1,0,0,0,0
playful,1,0,0,-1,0
raw,0,0,1,1,0
monologue,0,-1,0,1,1
rain,-1,0,0,0,1
folklore,0,0,0,0,1
space,0,0,0,0,1
LGBT,0,0,0,0,1
quirky,0,0,0,-1,0
carol,1,0,-1,-1,1
microtonal,0,1,0,0,0
rebellious,0,0,1,1,0
occult,0,1,1,1,1
pessimistic,-1,0,0,0,0
bittersweet,0,0,-1,1,0
desert,0,0,0,0,1
symphony,0,1,0,0,0
winter,0,0,0,0,1
happy,1,0,0,0,0
alienation,-1,0,0,1,0
Christian,0,0,0,0,1
spring,1,0,0,0,1
infernal,-1,0,1,1,1
satanic,0,0,1,0,1
philosophical,0,1,0,1,1
humorous,1,0,-1,-1,0
cold,-1,0,-1,0,1
Islamic,0,0,0,0,1
patriotic,1,0,0,0,1
repetitive,0,-1,0,0,0
opera,0,1,0,0,1
peaceful,1,0,-1,0,0
angry,-1,0,1,1,0
generativemusic,0,1,0,0,0
parody,0,0,0,-1,1
depressive,-1,0,-1,1,0
polyphonic,0,1,0,0,0
conscious,0,0,0,1,1
ideology,0,0,0,0,1
autumn,0,0,0,0,1
improvisation,0,1,0,0,0
mechanical,0,0,0,0,1
misanthropic,-1,0,1,1,0
orchestral,0,1,0,0,0
nocturnal,0,0,-1,0,1
love,1,0,0,1,0
martial,0,0,0,0,1
sensual,1,0,0,0,0
tribal,0,0,-1,0,1
hypnotic,0,0,-1,0,1
apocalyptic,-1,0,0,1,1
energetic,0,0,0,0,0
anarchism,0,0,1,0,1
meditative,1,-1,-1,0,0
Wallof Sound,0,1,0,0,0
acoustic,0,0,0,0,1
drugs,0,0,0,0,1
pagan,0,0,0,0,1
choral,0,0,0,0,0
mythology,0,0,0,0,1
dense,0,1,0,0,0
epic,0,0,0,0,1
abstract,0,1,0,0,0
avant-garde,0,1,0,0,0
suicide,-1,0,0,1,1
aleatory,0,1,0,0,0
summer,1,0,0,0,1
pastoral,0,0,0,0,1
dissonant,0,0,1,0,0
atonal,0,1,0,0,0
jingle,0,0,0,-1,1
political,0,0,0,1,1
sciencefiction,0,0,0,0,1
lonely,-1,0,0,1,0
poetic,1,0,-1,0,1
uncommontimesignatures,0,1,0,0,0
mellow,0,0,-1,0,0
aquatic,0,0,-1,0,1
rockopera,0,1,0,0,1
progressive,0,1,0,0,0
melodic,0,0,0,0,0
acappella,0,-1,0,0,0
sarcastic,0,0,0,-1,0
seasonal,0,0,0,0,1
Christmas,1,0,0,0,1
cryptic,0,1,0,0,1